Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Q1Vals	Q2Vals	LossPi	LossQ	DeltaLossQ	DeltaLossPi	StopIter
1	-255.122705078125	310.80616950118605	700.46216	-398.21634	501.05	-0.5133586525917053	-0.5144105553627014	0.3858991861343384	0.3693704605102539	0.5430309176445007	0.3805970847606659	49.0
2	-332.07333984375	171.2609668021292	731.4567	-394.41858	501.125	-0.7864081263542175	-0.7772579789161682	0.6545512080192566	0.3826471269130707	0.07576897740364075	0.25993573665618896	49.0
3	-285.2687744140625	269.8235997832658	667.14185	-405.4244	501.075	-0.7091318964958191	-0.7112529277801514	0.5761244893074036	0.4842854142189026	0.005374133586883545	0.07595294713973999	49.0
4	-308.74287109375	228.42097238432376	704.92456	-396.47083	501.15	-0.8053061962127686	-0.7974921464920044	0.6741786003112793	0.42930734157562256	0.009015262126922607	0.09482502937316895	49.0
5	-347.6367919921875	170.50357400946174	636.1156	-764.3703	513.1	-0.7144811749458313	-0.7129398584365845	0.5804520845413208	0.378251850605011	0.008213818073272705	0.08878767490386963	49.0
6	-339.232470703125	163.95493855020044	677.53766	-399.68588	501.125	-0.7742305994033813	-0.7801580429077148	0.6458850502967834	0.4805915355682373	0.0038620829582214355	0.06295090913772583	49.0
7	-310.4088623046875	222.70749454160722	658.6011	-406.4328	501.15	-0.7748063802719116	-0.7746304869651794	0.6398857831954956	0.42837458848953247	6.204843521118164e-05	0.0057528018951416016	49.0
8	-352.754248046875	21.14485245056702	-304.548	-389.5318	501.125	-0.8555411100387573	-0.8522034287452698	0.7199721932411194	0.44272416830062866	0.00595170259475708	0.07746583223342896	49.0
9	-361.2849853515625	20.62563682728972	-322.6188	-398.18356	501.1	-0.7153582572937012	-0.7196712493896484	0.587103545665741	0.5183320045471191	0.018878817558288574	0.13230931758880615	49.0
10	-362.1358154296875	63.30426279090532	-321.31186	-741.9711	513.0	-0.8361707925796509	-0.8449094891548157	0.7114467024803162	0.3996049165725708	0.01611548662185669	0.12502217292785645	49.0
11	-360.195751953125	15.669569247130726	-316.74634	-403.26663	501.125	-0.7247269153594971	-0.7242849469184875	0.5949516296386719	0.47052302956581116	0.01149594783782959	0.11478126049041748	49.0
12	-359.5474609375	23.079357406159513	-312.46362	-392.79016	501.15	-0.8436917662620544	-0.8430124521255493	0.713252067565918	0.4728009104728699	0.012009412050247192	0.11408579349517822	49.0
13	-339.02197265625	158.53504147348625	645.0018	-405.8178	501.15	-0.7635511159896851	-0.7677423357963562	0.6321689486503601	0.4166240096092224	0.005319416522979736	0.07693666219711304	49.0
14	-310.1289306640625	222.82052755525018	667.77924	-405.81894	501.125	-0.8834418654441833	-0.8836584091186523	0.7552072405815125	0.44096678495407104	0.01434972882270813	0.118766188621521	49.0
15	-315.4637939453125	233.8657066566195	680.49524	-711.53357	512.95	-0.8097169399261475	-0.8116088509559631	0.6809105277061462	0.4841439127922058	0.005229949951171875	0.07152456045150757	49.0
16	-331.836474609375	161.64072815970607	669.41406	-398.3227	501.075	-0.7830469608306885	-0.7818574905395508	0.6503614187240601	0.46156615018844604	0.0009227097034454346	0.02999812364578247	49.0
17	-358.367236328125	19.101451622888835	-318.62137	-395.52026	501.075	-0.8599867820739746	-0.8612297773361206	0.7257845401763916	0.4354250133037567	0.00519755482673645	0.07180023193359375	49.0
18	-327.9568359375	159.13445572848138	657.0204	-400.63904	501.175	-0.8814072608947754	-0.8801864385604858	0.7485595941543579	0.4159385561943054	0.0007746219635009766	0.024391889572143555	49.0
19	-355.512451171875	17.352217808989863	-324.25772	-393.03793	501.075	-0.9240742921829224	-0.9234113097190857	0.7922886610031128	0.46365660429000854	0.0018755793571472168	0.0423426628112793	49.0
20	-363.19501953125	61.62384633808571	-307.06696	-732.08466	513.125	-0.809416651725769	-0.8106321692466736	0.6808102130889893	0.42607372999191284	0.01249849796295166	0.1079450249671936	49.0
21	-334.704296875	156.19650584280046	630.71466	-402.88498	501.225	-0.9473700523376465	-0.9407030344009399	0.8142194747924805	0.4897027015686035	0.01741647720336914	0.13076156377792358	49.0
22	-337.032080078125	169.0185086018688	710.8462	-410.65143	501.125	-0.8343522548675537	-0.8374228477478027	0.7069814801216125	0.4312351942062378	0.010054409503936768	0.1065559983253479	49.0
23	-334.107958984375	153.28294405282017	612.06494	-397.71442	501.05	-0.9732307195663452	-0.9685545563697815	0.839091956615448	0.5188251733779907	0.017025411128997803	0.13141882419586182	49.0
24	-332.273681640625	158.67994024923252	652.2645	-397.46393	501.225	-0.9645018577575684	-0.9648768901824951	0.8343086838722229	0.5097453594207764	0.00014895200729370117	0.004302561283111572	49.0
25	-364.35283203125	60.84169391749378	-321.19373	-724.80206	512.85	-0.8909617066383362	-0.8947237730026245	0.7637174129486084	0.4142639636993408	0.005481988191604614	0.07058823108673096	49.0
26	-336.049853515625	157.9623471748885	645.9283	-401.87164	501.25	-0.9374330043792725	-0.9353093504905701	0.805659294128418	0.4102303385734558	0.0016366243362426758	0.03969234228134155	49.0
27	-261.506787109375	306.958924369369	690.24506	-404.59692	501.125	-0.9201841354370117	-0.9214845895767212	0.7844756841659546	0.4527585804462433	0.0005067288875579834	0.018932104110717773	49.0
28	-335.16552734375	154.84328771373978	624.0827	-397.73615	501.15	-1.018434762954712	-1.0136139392852783	0.8877838253974915	0.5034875869750977	0.010076522827148438	0.10007244348526001	49.0
29	-359.8343505859375	20.606754477067103	-318.17633	-398.95557	501.125	-1.0038697719573975	-1.0045313835144043	0.8702762126922607	0.47112536430358887	0.0003033876419067383	0.016299962997436523	49.0
30	-342.6075439453125	108.31759581203785	320.44516	-409.43463	512.85	-0.9369099736213684	-0.9372240304946899	0.801219642162323	0.41310423612594604	0.00430530309677124	0.06657856702804565	49.0
31	-306.108349609375	230.19957373983124	720.6835	-407.7364	501.075	-0.9641282558441162	-0.9615611433982849	0.8345701694488525	0.5011143088340759	0.0010047554969787598	0.030848920345306396	49.0
32	-360.1701904296875	24.813672831223514	-306.29523	-421.60547	501.15	-0.9826467037200928	-0.9827036261558533	0.850983202457428	0.5410891175270081	0.0004845857620239258	0.017962932586669922	49.0
33	-360.746240234375	22.566758600871328	-312.454	-401.3727	501.175	-0.9206464290618896	-0.9257128834724426	0.7907388210296631	0.45743194222450256	0.004122883081436157	0.05943411588668823	49.0
34	-356.248876953125	17.967097750123695	-320.89206	-389.59152	501.05	-1.0004825592041016	-0.9946383237838745	0.8629247546195984	0.5144243240356445	0.005193352699279785	0.07066702842712402	49.0
35	-336.20986328125	169.15081103855223	635.6875	-755.52167	513.1	-1.0576121807098389	-1.0616204738616943	0.9280910491943359	0.4733070135116577	0.004479944705963135	0.06614118814468384	49.0
36	-362.043798828125	20.175897038026896	-321.7312	-399.69113	501.1	-1.1981961727142334	-1.1958858966827393	1.0653486251831055	0.5227301120758057	0.018531322479248047	0.1330193281173706	49.0
37	-359.8126220703125	18.84830609307173	-316.24948	-397.28958	501.175	-1.0376174449920654	-1.0426133871078491	0.9129205942153931	0.5236462354660034	0.024072647094726562	0.14940106868743896	49.0
38	-352.1689208984375	23.06372900688709	-306.24823	-405.0881	501.125	-1.0392394065856934	-1.0386147499084473	0.9064779281616211	0.4802097678184509	8.732080459594727e-05	0.0037388205528259277	49.0
39	-331.49404296875	160.27568534403463	663.07135	-392.1484	501.1	-0.9557154178619385	-0.951259434223175	0.8226349949836731	0.4210715591907501	0.007523596286773682	0.08451199531555176	49.0
40	-339.7718505859375	163.53990338752192	607.7915	-725.92834	512.95	-0.9662589430809021	-0.9649151563644409	0.8318722248077393	0.4155624806880951	0.00017055869102478027	0.00918567180633545	49.0
41	-357.2347900390625	18.282539350899466	-311.68756	-391.2275	501.075	-1.074368953704834	-1.0765899419784546	0.9464722871780396	0.47399455308914185	0.013159185647964478	0.11411124467849731	49.0
42	-305.411328125	225.01576333670494	675.6713	-393.74683	501.1	-1.0117206573486328	-1.016120433807373	0.881376326084137	0.47420734167099	0.0040540993213653564	0.06616801023483276	49.0
43	-284.688818359375	266.26591501729996	669.4484	-422.83105	501.1	-1.0773922204971313	-1.0849682092666626	0.9494267106056213	0.38755446672439575	0.004599153995513916	0.06933051347732544	49.0
44	-363.743359375	20.879670603993013	-320.55087	-407.25058	501.075	-1.1698343753814697	-1.1789926290512085	1.0453249216079712	0.44148486852645874	0.008419215679168701	0.0904892086982727	49.0
45	-346.64248046875	174.70840885601356	673.44965	-736.9295	513.175	-1.1891131401062012	-1.1905083656311035	1.0574926137924194	0.4237467050552368	0.0003363490104675293	0.013582587242126465	49.0
46	-325.1270263671875	157.86869049149675	650.8899	-409.10992	501.25	-1.0477219820022583	-1.0618513822555542	0.9294449687004089	0.4249992370605469	0.016914963722229004	0.12445145845413208	49.0
47	-285.215234375	269.882428105277	671.9377	-412.05164	501.1	-1.1456992626190186	-1.1470788717269897	1.0146805047988892	0.4670169949531555	0.007195979356765747	0.07916295528411865	49.0
48	-354.6416015625	19.886770541697437	-314.89117	-417.05145	501.075	-1.1135717630386353	-1.1143410205841064	0.9799287915229797	0.4716559648513794	0.0008023679256439209	0.028532564640045166	49.0
49	-360.144873046875	22.382658430970615	-314.55032	-406.01056	501.1	-1.1337372064590454	-1.133509874343872	1.0008721351623535	0.5058643817901611	0.00031507015228271484	0.016437530517578125	49.0
50	-343.7446533203125	170.24612697503576	652.7696	-721.63007	512.975	-1.2730705738067627	-1.276600956916809	1.1463159322738647	0.5660104751586914	0.020907044410705566	0.14419567584991455	49.0
51	-357.1896240234375	23.544202942284965	-307.0694	-402.87912	501.125	-1.1499600410461426	-1.15276300907135	1.0246200561523438	0.5046371221542358	0.014930546283721924	0.12021958827972412	49.0
52	-358.9087890625	22.554285641120405	-314.2083	-394.88812	501.075	-1.2335313558578491	-1.2357128858566284	1.1015719175338745	0.46880966424942017	0.006275951862335205	0.07804667949676514	49.0
53	-356.659375	20.550856315796185	-309.28766	-388.2274	501.075	-1.1553740501403809	-1.1554408073425293	1.0210908651351929	0.428463339805603	0.005409657955169678	0.0782465934753418	49.0
54	-310.0592529296875	221.7913081592694	658.08093	-402.669	501.075	-1.219099760055542	-1.2175164222717285	1.083804726600647	0.37836965918540955	0.004052460193634033	0.06111741065979004	49.0
55	-343.039013671875	175.60053210340794	681.9118	-742.20746	513.175	-1.2398579120635986	-1.239583969116211	1.107389211654663	0.4772990345954895	0.00044721364974975586	0.018287181854248047	49.0
56	-337.104541015625	159.7240687091335	654.25183	-397.10748	501.125	-1.2720221281051636	-1.2733492851257324	1.1404502391815186	0.47033998370170593	0.0013655126094818115	0.03656411170959473	49.0
57	-308.794775390625	219.22866914479957	645.2912	-404.4886	501.075	-1.2244136333465576	-1.2244747877120972	1.0923993587493896	0.48187124729156494	0.002281397581100464	0.04430115222930908	49.0
58	-329.359765625	159.42289966469684	660.2707	-390.18893	501.05	-1.2758482694625854	-1.2777905464172363	1.145561695098877	0.4885268211364746	0.0023272335529327393	0.048920392990112305	49.0
59	-310.2600830078125	222.5611924280601	658.30975	-405.1098	501.075	-1.3178837299346924	-1.3168652057647705	1.1833733320236206	0.46020495891571045	0.001217484474182129	0.033701181411743164	49.0
60	-344.772412109375	169.81610458080823	645.0292	-730.5403	513.15	-1.3136827945709229	-1.313614845275879	1.178901195526123	0.4730765223503113	2.4616718292236328e-05	0.001833796501159668	49.0
61	-360.573828125	15.4989131423384	-331.1497	-393.8895	501.125	-1.31654691696167	-1.3167486190795898	1.1814234256744385	0.5324021577835083	5.555152893066406e-05	0.002946615219116211	49.0
62	-279.815869140625	264.3200947714721	660.1487	-390.02902	501.075	-1.319326639175415	-1.319285273551941	1.185025691986084	0.48628848791122437	0.0002243518829345703	0.004144906997680664	49.0
63	-338.15146484375	158.04452991957677	643.5292	-396.13022	501.1	-1.343965768814087	-1.3442944288253784	1.2096889019012451	0.47796833515167236	0.0004292130470275879	0.021178007125854492	49.0
64	-313.48095703125	223.5987757122118	691.04834	-396.99066	501.05	-1.4550048112869263	-1.4530105590820312	1.3153165578842163	0.5022915601730347	0.0111427903175354	0.105621337890625	49.0
65	-341.663037109375	175.37791337565855	681.28784	-744.1117	513.175	-1.4157352447509766	-1.414219617843628	1.2804911136627197	0.4342934787273407	0.0011813342571258545	0.0331956148147583	49.0
66	-304.470166015625	221.43737828108425	670.4782	-388.0716	501.125	-1.431013822555542	-1.4317293167114258	1.2963112592697144	0.4508935809135437	0.0002034306526184082	0.012775778770446777	49.0
67	-338.5068115234375	159.89923584870567	652.64764	-407.65198	501.125	-1.3470954895019531	-1.3492296934127808	1.2124786376953125	0.5130611062049866	0.006350457668304443	0.08302187919616699	49.0
68	-356.0744873046875	19.28082201713013	-319.15152	-395.83182	501.075	-1.4504003524780273	-1.4492313861846924	1.317944049835205	0.47974783182144165	0.010058403015136719	0.10753726959228516	49.0
69	-359.61064453125	22.831560958052123	-313.79144	-403.7512	501.1	-1.349301815032959	-1.350998044013977	1.2130106687545776	0.4795841574668884	0.01058197021484375	0.0992201566696167	49.0
70	-340.878515625	177.9224901466928	704.8091	-725.0303	513.1	-1.4050664901733398	-1.4044870138168335	1.2722158432006836	0.4712129235267639	0.002622842788696289	0.05338597297668457	49.0
71	-331.1564697265625	161.11973420410052	665.4089	-405.49042	501.125	-1.3510708808898926	-1.35250985622406	1.215909719467163	0.48200833797454834	0.0029896199703216553	0.055321335792541504	49.0
72	-337.616015625	159.57308278654017	654.0492	-392.87018	501.05	-1.3277102708816528	-1.327634572982788	1.1940181255340576	0.49243927001953125	0.00045692920684814453	0.020550012588500977	49.0
73	-356.12666015625	24.25512993420155	-308.5502	-421.91043	501.125	-1.3487000465393066	-1.3479489088058472	1.2156956195831299	0.44310981035232544	0.0006729960441589355	0.024203896522521973	49.0
74	-339.491162109375	155.66702745764758	623.25946	-412.83032	501.1	-1.3974342346191406	-1.4003167152404785	1.2669309377670288	0.440883606672287	0.0022762715816497803	0.04898369312286377	49.0
75	-368.76513671875	64.08392324717643	-301.1895	-744.1595	513.05	-1.4042044878005981	-1.4039465188980103	1.2713098526000977	0.3783402740955353	2.54213809967041e-05	0.002438068389892578	49.0
76	-308.824462890625	223.5585633564503	664.27	-395.33026	501.125	-1.4044556617736816	-1.40470552444458	1.271618127822876	0.44119369983673096	0.00010776519775390625	0.008883953094482422	49.0
77	-339.1561767578125	154.4025279100054	616.8497	-412.89008	501.125	-1.4564043283462524	-1.456404685974121	1.3217835426330566	0.4534794092178345	0.0023505687713623047	0.04405248165130615	49.0
78	-331.819140625	154.60068018123334	628.25006	-389.74966	501.05	-1.4197275638580322	-1.4194180965423584	1.2904210090637207	0.5513732433319092	0.0012226700782775879	0.032317399978637695	49.0
79	-358.1651123046875	21.44344965725256	-307.72943	-401.66986	501.05	-1.464217185974121	-1.4649546146392822	1.3292886018753052	0.5676258206367493	0.00118255615234375	0.032306790351867676	49.0
80	-315.805029296875	236.05311902196928	705.9101	-752.38025	513.15	-1.3512455224990845	-1.3538726568222046	1.2187695503234863	0.3921102285385132	0.008779168128967285	0.09811246395111084	49.0
81	-362.2556396484375	21.930984164105585	-311.76938	-409.72955	501.1	-1.567741870880127	-1.5619382858276367	1.4435003995895386	0.44904834032058716	0.046582579612731934	0.21775448322296143	49.0
82	-286.09609375	262.10200781375175	644.3097	-393.2497	501.05	-1.4522137641906738	-1.4454818964004517	1.3242452144622803	0.41811344027519226	0.015202373266220093	0.11949610710144043	49.0
83	-363.946923828125	22.316765829962346	-323.55032	-419.15002	501.125	-1.3524123430252075	-1.3557407855987549	1.2240718603134155	0.4300435483455658	0.010123342275619507	0.09924149513244629	49.0
84	-356.210009765625	16.514798642997437	-317.7494	-402.02933	501.15	-1.4614088535308838	-1.4620968103408813	1.3255424499511719	0.46494290232658386	0.010866165161132812	0.09978663921356201	49.0
85	-344.80791015625	172.00196219810982	658.09076	-736.0988	513.1	-1.588819980621338	-1.5938631296157837	1.4546220302581787	0.41406887769699097	0.019288182258605957	0.12971138954162598	49.0
86	-333.0470703125	163.9118474973667	683.73065	-396.26874	501.1	-1.417551040649414	-1.4250257015228271	1.2860686779022217	0.43752574920654297	0.027424246072769165	0.16133689880371094	49.0
87	-369.581201171875	43.24245327944519	-300.2689	-519.8086	501.125	-1.5419626235961914	-1.5386927127838135	1.4095335006713867	0.4571211338043213	0.012789785861968994	0.11757147312164307	49.0
88	-350.32568359375	171.21298870120808	668.47156	-524.168	501.15	-1.5113093852996826	-1.5131988525390625	1.3809233903884888	0.3926815092563629	0.001115947961807251	0.030639290809631348	49.0
89	-308.930224609375	225.3885256618003	694.7517	-402.68808	501.15	-1.4987698793411255	-1.4990777969360352	1.3655462265014648	0.38579100370407104	0.00020802021026611328	0.013963818550109863	49.0
90	-367.3879638671875	63.929453305968444	-311.92865	-740.6284	513.0	-1.518060564994812	-1.5179238319396973	1.384177327156067	0.5170704126358032	0.000244140625	0.014410138130187988	49.0
91	-326.177587890625	158.5311286467109	655.67145	-396.92804	501.125	-1.5435837507247925	-1.5443803071975708	1.4102014303207397	0.43703413009643555	0.0005123913288116455	0.02340078353881836	49.0
92	-329.6576416015625	164.4145959913535	689.1515	-395.1682	501.15	-1.6040352582931519	-1.6083556413650513	1.473305583000183	0.48768049478530884	0.004229605197906494	0.0640026330947876	49.0
93	-360.282421875	23.29783176271453	-305.58795	-401.32846	501.025	-1.4787635803222656	-1.4753797054290771	1.3508988618850708	0.4039554297924042	0.013100773096084595	0.1171039342880249	49.0
94	-357.109716796875	16.64979134277101	-324.6878	-393.70776	501.05	-1.4434328079223633	-1.4444596767425537	1.3100156784057617	0.3703562915325165	0.0015075206756591797	0.043245911598205566	49.0
95	-297.1498779296875	274.71782113652546	688.01184	-726.3371	513.075	-1.5339598655700684	-1.533689022064209	1.3992451429367065	0.5134146213531494	0.007038712501525879	0.08775436878204346	49.0
96	-334.2479736328125	156.67725584780965	634.8313	-395.66833	501.05	-1.4509027004241943	-1.4552031755447388	1.318190336227417	0.4137476682662964	0.005718320608139038	0.07956266403198242	49.0
97	-333.53271484375	153.4557804792638	617.2513	-404.7284	501.075	-1.5913689136505127	-1.593665599822998	1.4562221765518188	0.4983903765678406	0.017087101936340332	0.1352306604385376	49.0
98	-335.61025390625	161.87735519522178	665.811	-409.36856	501.15	-1.570772409439087	-1.5702838897705078	1.4400559663772583	0.41267189383506775	0.00014960765838623047	0.010716557502746582	49.0
